epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3855.73,1.63687,0.89191,1.03643,0.7927,0.7812,0.80237,0.42789,1.76501,0.9625,0.96078,0.0011882,0.0011882,0.0011882
43,3948.49,1.60893,0.88583,1.07026,0.80146,0.77976,0.80123,0.44125,1.70481,0.9372,0.93845,0.0011684,0.0011684,0.0011684
44,4039.83,1.58565,0.84599,1.05796,0.80082,0.76239,0.80519,0.43579,1.67922,0.99551,0.94719,0.0011486,0.0011486,0.0011486
45,4132.8,1.57915,0.87698,1.05604,0.78542,0.78974,0.79386,0.43438,1.71852,1.02587,0.95249,0.0011288,0.0011288,0.0011288
46,4225.7,1.60146,0.86915,1.01259,0.71679,0.76581,0.77895,0.42378,1.71428,1.05154,0.95962,0.001109,0.001109,0.001109
47,4316.08,1.57311,0.87056,1.03981,0.80131,0.77214,0.80068,0.43814,1.67758,0.9569,0.94416,0.0010892,0.0010892,0.0010892
48,4406.38,1.5949,0.87559,1.04693,0.80203,0.7641,0.79781,0.4389,1.68495,0.95825,0.96367,0.0010694,0.0010694,0.0010694
49,4495.94,1.61908,0.8355,0.99113,0.81424,0.76752,0.80419,0.44177,1.68673,0.95791,0.95614,0.0010496,0.0010496,0.0010496
50,4588.62,1.52169,0.82258,1.01874,0.79219,0.77545,0.7955,0.44016,1.68966,0.93429,0.93741,0.0010298,0.0010298,0.0010298
51,4675.49,1.55761,0.84942,1.02981,0.79786,0.79617,0.80079,0.43583,1.68871,0.96026,0.92151,0.00101,0.00101,0.00101
52,4764.25,1.5712,0.83142,1.00857,0.79667,0.78462,0.79341,0.44006,1.68018,0.91873,0.93073,0.0009902,0.0009902,0.0009902
53,4853.87,1.53252,0.78342,1.00243,0.79333,0.7743,0.80428,0.44752,1.6382,0.91697,0.92586,0.0009704,0.0009704,0.0009704
54,4948.46,1.53898,0.81543,1.0024,0.79129,0.76923,0.78563,0.43817,1.68203,0.90592,0.93421,0.0009506,0.0009506,0.0009506
55,5037.32,1.50682,0.77876,1.00339,0.76165,0.77265,0.79301,0.44506,1.66762,0.94135,0.9481,0.0009308,0.0009308,0.0009308
56,5125.3,1.51719,0.78775,0.99215,0.82642,0.77315,0.81546,0.45268,1.6491,0.86933,0.93641,0.000911,0.000911,0.000911
57,5216.25,1.57542,0.77745,0.9844,0.76937,0.8,0.79992,0.43476,1.67736,0.97775,0.95025,0.0008912,0.0008912,0.0008912
58,5305.65,1.45496,0.76575,0.99605,0.78528,0.75385,0.79886,0.44813,1.61725,0.90612,0.9289,0.0008714,0.0008714,0.0008714
59,5394.16,1.51789,0.78272,0.97535,0.79829,0.77778,0.80478,0.45257,1.67362,0.90364,0.9492,0.0008516,0.0008516,0.0008516
60,5480.78,1.51937,0.79634,0.97917,0.79439,0.76752,0.80979,0.4473,1.65681,0.91034,0.93805,0.0008318,0.0008318,0.0008318
61,5571.6,1.47473,0.74761,0.98627,0.83374,0.77607,0.82333,0.45197,1.63623,0.8705,0.92371,0.000812,0.000812,0.000812
62,5661.68,1.47492,0.77095,0.99089,0.80701,0.78631,0.81681,0.4563,1.65665,0.86596,0.90453,0.0007922,0.0007922,0.0007922
63,5753.14,1.51476,0.76162,1.01174,0.80824,0.79487,0.82089,0.45992,1.64496,0.85581,0.93807,0.0007724,0.0007724,0.0007724
64,5846.77,1.50487,0.75259,0.97661,0.8358,0.77607,0.81602,0.45627,1.65715,0.90457,0.92417,0.0007526,0.0007526,0.0007526
